Name of the seller,Date,Item title,Item price,Item description,Location,Pictures
avenue,Valabil din 18.10.2022 15:28:31,Grapa cu discuri Grano System de la 2.7m,6 000EUR,"AlteleUtilaje agricolewww.bestauto.ro ""MarcaAlteleModelgrapa cu discuri grano system de la 2.7m CategoriaUtilaje agricoleSubcategoriaalte masini agricole Avariatneavariata  Lucrarile agricole specifice toamnei presupun eliberarea terenurilor de resturile vegetale si efectuarea araturilor cu incorporarea reziduurilor in sol pentru mineralizare optima. Astfel va prezentam o gama diversa de grape cu discuri cultivatoare combinatoare scarificatoare de calitate superioara fabricate in Polonia Dotate cu:-discuri OFAS: diametre disponibile 510 560 și 610 mm din oțel special tratat pentru a conferi rezistenta crescuta- butuci prevazuti cu rulmenti capsati lubrifiati si sigilati in baie de ulei pentru cresterea durabilitatii si a calitatii economisirea timpului si minimalizarea costurilor de intretinere-protectie de cauciuc impotriva suprasarcinii si a socurilor-ecrane lateral de protectie-constructie solida-pliere hidraulica pentru facilitarea transportului-sistem hidraulic pentru atasarea semanatoarei (optional)-cărucior de transport cu bară de tracțiune Precum si inovatii:Recipient pentru raspandirea ingrasamintelor atasat pe utilaj cu o capacitate a rezervorului de 110 litri lățime de răspândire 2 2m-15m Toate acestea menite sa simplifice si sa modernizeze viata agricultorului.Discul se utilizează si la alte lucrări: la spargerea crustei formate la suprafa a solului grăparea pă unilor grăparea semănăturilor si a fâne elor naturale precum si îngroparea îngră ămintelor si eventual a semintelor distribuite pe suprafa a solului. Materialele utilizate sunt de foarta buna calitate cea ce ofera grapei cu disc o fiabilitate foarte buna.         FACILITATI: Posibilitate achizitie prin factura externa (TVA 0%) sau prin Fonduri Europene.   Se ofera Certificat conformitate si calitate de la producator.   Livrare in toate regiunile tarii la preturi rezonabile.   Posibilitate achizitie prin rate TBI Publi24_1659956376Publi24_165995637607xx xxx xxxArata telefon",Caras-SeverinCaransebes,image_1
,,,,,,image_2
,,,,,,image_3
,,,,,,image_4
,,,,,,image_5
,,,,,,image_6
,,,,,,image_7
,,,,,,image_8
,,,,,,image_9
,,,,,,image_10
